anomaly_type,severity,purchase_number,category,metric,amount_rub,description
cancelled_procedure,medium,SBR028-2408050060.1,other,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2407230014.1,other,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,19356284,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,96495614,other,,2250000.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,26167297,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,28135091,other,,90000.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,36572906,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,122021010,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,72234924,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,68082161,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,95848978,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,48597510,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,121569052,construction_and_repair,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,108305899,construction_and_repair,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,3953473,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,67304701,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,72821087,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,90334933,logistics_and_facilities,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,28907902,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,21297637,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,65851204,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,39426492,logistics_and_facilities,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,97495985,logistics_and_facilities,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,42756055,logistics_and_facilities,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,88393685,other,,0.0,Procedure status contains a cancellation signal.
