source_system,source_record_id,purchase_number,title,customer_name,customer_inn,publication_date,amount_rub,source_url,match_quality
Sberbank-AST,SBR065-2503120007.1,SBR065-2503120007.1,"Английский аукцион на повышение на право заключения договора аренды части помещения нежилого здания площадью 110,94 кв.м., расположенного по адресу: Брянская область, пгт.Климово, ул. Коммунистическая, д. 12, принадлежащего ПАО Сбербанк",Среднерусский банк ПАО Сбербанк,7707083893,2025-03-12,32394.48,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2857468,candidate
Sberbank-AST,SBR065-2503110010.1,SBR065-2503110010.1,"Голландский аукцион на понижение с дополнительным этапом на повышение на право заключения договора купли-продажи нежилого помещения площадью 181,9 кв. м. и земельного участка площадью 365,9 кв.м., расположенных по адресу: Республика Коми, пгт. Троицко-Печорск, ул. Советская, д.42, принадлежащего ПАО Сбербанк.",Северо-Западный банк ПАО Сбербанк,7707083893,2025-03-11,1757146.00,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/30/0/0/2853870,candidate
Sberbank-AST,SBR065-2503110009.1,SBR065-2503110009.1,"Английский аукцион на повышение на право заключения договора аренды нежилого помещения площадью 167,12 кв.м. расположенного по адресу: Новосибирская область, с. Северное, ул. Чкалова, д. 4, принадлежащего ПАО Сберанк.",Сибирский банк ПАО Сбербанк,7707083893,2025-03-11,53812.64,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2853771,candidate
Sberbank-AST,SBR065-2503110007.1,SBR065-2503110007.1,"Английский аукцион на повышение на право заключения договора аренды нежилого помещения площадью 80,51 кв.м. расположенного по адресу: Новосибирская область, с. Убинское, ул. Ленина, д. 11, принадлежащего ПАО Сбербанк.",Сибирский банк ПАО Сбербанк,7707083893,2025-03-11,29627.68,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2853765,candidate
Sberbank-AST,SBR065-2503110008.1,SBR065-2503110008.1,"Английский аукцион на повышение на право заключения договора купли-продажи нежилого помещения площадью 167,12 кв.м. и долю 59/100 земельного участка общей площадью 1 071 кв.м., расположенных по адресу: Новосибирская область, с. Северное, ул. Чкалова, д. 4, принадлежащих ПАО Сбербанк.",Сибирский банк ПАО Сбербанк,7707083893,2025-03-11,3088679.71,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2853767,candidate
Sberbank-AST,SBR065-2503110006.1,SBR065-2503110006.1,"Английский аукцион на повышение на право заключения договора купли-продажи нежилого помещения площадью 80,51 кв.м. и 37/100 доли земельного участка общей площадью 945 кв.м., расположенных по адресу: Новосибирская область, с. Убинское, ул. Ленина, д. 11, принадлежащих ПАО Сбербанк.",Сибирский банк ПАО Сбербанк,7707083893,2025-03-11,1931175.53,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2853761,candidate
Sberbank-AST,SBR065-2503100009.1,SBR065-2503100009.1,"Голландский аукцион на понижение с дополнительным этапом на повышение на право заключения договора аренды нежилых помещений общей площадью 178,4 кв.м., расположенных по адресу: Республика Коми, пгт. Троицко-Печорск, ул. Советская, д.42, принадлежащих ПАО Сбербанк.",Северо-Западный банк ПАО Сбербанк,7707083893,2025-03-10,39604.80,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/30/0/0/2851063,candidate
Sberbank-AST,SBR065-2503100007.1,SBR065-2503100007.1,"Голландский аукцион на понижение с дополнительным этапом на повышение на право заключения договора купли-продажи нежилого помещения общей площадью 156,4 кв. м и 0,26/14 доли в праве общей долевой собственности на земельный участок общей площадью 8279 кв. м, расположенных по адресу: Красноярский край, г. Канск, ул. Урицкого, 4, стр. 6, принадлежащих ПАО Сбербанк",Сибирский банк ПАО Сбербанк,7707083893,2025-03-10,4500000.00,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/30/0/0/2850182,candidate
Sberbank-AST,SBR065-2503100008.1,SBR065-2503100008.1,"Голландский аукцион на понижение с дополнительным этапом на повышение на право заключения договора аренды нежилого помещения площадью 156,4 кв. м, расположенного по адресу: Красноярский край, г. Канск, ул. Урицкого, 4, строение 6, принадлежащего ПАО Сбербанк.",Сибирский банк ПАО Сбербанк,7707083893,2025-03-10,97843.84,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/30/0/0/2850183,candidate
Sberbank-AST,SBR065-2503100006.1,SBR065-2503100006.1,"Английский аукцион на повышение на право заключения договора аренды нежилого помещения площадью 120,6 кв.м. расположенного по адресу: Российская Федерация, Краснодарский край, Староминский р-н, ст-ца Староминская, ул. Красная, д.9 № А, принадлежащее ПАО Сбербанк.",Юго-Западный Банк ПАО Сбербанк,7707083893,2025-03-10,22914.00,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2849442,candidate
Sberbank-AST,SBR065-2503070006.1,SBR065-2503070006.1,"Голландский аукцион на понижение с дополнительным этапом на повышение на право заключения договора купли-продажи нежилого здания общей площадью 119,1 кв.м, Газопровода низкого давления, Газопровода низкого давления и газификации топочной дополнительного офиса №1802/039 Тихорецкого отделения №1802 ОАО ""Сбербанк России"", земельного участка площадью 1229 кв.м., расположенных по адресу: Россия, Краснодарский край, Новопокровский район, п. Кубанский, ул. Ленина, дом №1/2, принадлежащее ПАО Сбербанк.",Юго-Западный Банк ПАО Сбербанк,7707083893,2025-03-07,3402823.20,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/30/0/0/2841523,candidate
Sberbank-AST,SBR065-2503060013.1,SBR065-2503060013.1,"Английский аукцион на повышение на право заключения договора аренды нежилого помещения площадью 19,5 кв.м. расположенного по адресу: Кабардино-Балкарская республика, с. Анзорей, ул. Хамгокова, д. 29, принадлежащего ПАО Сбербанк.",Юго-Западный Банк ПАО Сбербанк,7707083893,2025-03-06,6825.00,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2837428,candidate
Sberbank-AST,SBR065-2503060012.1,SBR065-2503060012.1,"Голландский аукцион на понижение с дополнительным этапом на повышение на право заключения договора аренды нежилых помещений площадью 37,1 кв. м., расположенных по адресу: Краснодарский край, Новопокровский район, п. Кубанский, ул. Ленина, дом №1/2, принадлежащих ПАО Сбербанк.",Юго-Западный Банк ПАО Сбербанк,7707083893,2025-03-06,13623.12,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/30/0/0/2837275,candidate
Sberbank-AST,SBR065-2503060011.1,SBR065-2503060011.1,"Английский аукцион на повышение на право заключения договора аренды нежилого помещения площадью 141,2 кв.м., расположенного по адресу: Ростовская область, г. Волгодонск, пр-кт. Мира, д. 12, кв. I, принадлежащего ПАО Сбербанк.",Юго-Западный Банк ПАО Сбербанк,7707083893,2025-03-06,90791.60,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2837262,candidate
